feature_set,n_features,model,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,f1_macro_mean,f1_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
all,28,LogisticRegression,0.6997826584305652,0.03885935460570705,0.6965517679333468,0.035849776604679195,0.6916183116706269,0.03762630995141805,0.7621909503488451,0.03517762416555732
all,28,SVM,0.6943834362846031,0.03792296537802387,0.6874170222854434,0.034786223223815964,0.6841584393917607,0.036394909722935916,0.7543664905507012,0.03342873447356597
all,28,RandomForest,0.7103294440631436,0.036486132334584205,0.6759368861342546,0.0329115614483607,0.6801311894073507,0.03457066717287902,0.7791738637133374,0.03385721059025818
all,28,LDA,0.6933081674673989,0.04055194851914458,0.6686797229560388,0.03710421850500483,0.6716046299994192,0.03868690383981326,0.755209815078236,0.029764546685235115
all,28,KNN,0.6633379089453215,0.032037839576984695,0.6277602790760686,0.03064489086126221,0.6284040549635767,0.03389393161124911,0.6854666226376753,0.04702555469876598
cooc,9,LogisticRegression,0.632429649965683,0.018858589636294963,0.6223718078981236,0.022205315446821517,0.6197265890618293,0.020564354499488065,0.6653868624263362,0.03099471275366837
cooc,9,SVM,0.6174902768245254,0.024649368456283648,0.6098049176996546,0.02699116892624661,0.606286045437064,0.025401203727765706,0.6322575865339023,0.03347679452426601
cooc,9,LDA,0.6441889727751088,0.03921696716378381,0.590863984285037,0.03953385415086501,0.582760410186453,0.04629199301410669,0.6651641773352299,0.03725674356869733
cooc,9,RandomForest,0.6088881262868909,0.037301322686491035,0.5706538305222515,0.0354672165561336,0.5686713789158389,0.03674273963248279,0.6353736960644856,0.039523937062347594
cooc,9,KNN,0.5907687028140014,0.031015733209881786,0.5447643602248865,0.0339076766502657,0.5369943781043114,0.039477343744030925,0.6057218637810744,0.040223750461176655
language_version_count,1,LogisticRegression,0.4401052390757264,0.04323170077670577,0.5226584196978934,0.03798233094968876,0.38555157554973646,0.055243122157928384,0.5241560404389352,0.03785181622081492
language_version_count,1,LDA,0.6025623427133381,0.003899081921611876,0.5,0.0,0.375995614619909,0.0015207968293672654,0.5241560404389352,0.03785181622081492
language_version_count,1,KNN,0.5660032029283917,0.07405465797856342,0.5008204633204634,0.008152800159760092,0.3720252878405327,0.017023860458455126,0.5157316856330014,0.0309271326586848
language_version_count,1,RandomForest,0.4165980324868451,0.020976664103143233,0.5065412687123214,0.02122832748160732,0.34102699101079137,0.030123094834851188,0.49112032615322077,0.019789913162289473
language_version_count,1,SVM,0.4165980324868451,0.020976664103143233,0.5065412687123214,0.02122832748160732,0.34102699101079137,0.030123094834851188,0.48696466673440364,0.03532440739975128
linguistic,8,LogisticRegression,0.5555250514756349,0.01982375642941465,0.5335865000338684,0.02654842495507044,0.5270825296400024,0.026863240130980928,0.5457569176319177,0.03254913998916279
linguistic,8,SVM,0.5619080301990392,0.027841377003049762,0.5307318126397075,0.029490004371488892,0.5256965533950199,0.03525560495442023,0.4897397632595001,0.05444569827018064
linguistic,8,RandomForest,0.5170670327156257,0.03599685889416792,0.5202249712118133,0.035422670251053286,0.5062959878652779,0.03613464308144915,0.5399764190882611,0.03895619861855817
linguistic,8,KNN,0.5821322351864563,0.03034238008381271,0.5171785036916616,0.02856063926037123,0.4797662612212658,0.051899948257718945,0.506943244936666,0.04067351138714618
linguistic,8,LDA,0.5822237474262181,0.03365014995870461,0.5108891316128159,0.03682301572744303,0.47379265476448007,0.04741310336681269,0.5483110224886539,0.03719569055348343
qa_topic,1,LogisticRegression,0.6281628917867765,0.04279699311894541,0.6123073731626364,0.043551642660329674,0.6115244281336881,0.044029212238657474,0.6513860665176454,0.04343674955013561
qa_topic,1,RandomForest,0.6281628917867765,0.04279699311894541,0.6123073731626364,0.043551642660329674,0.6115244281336881,0.044029212238657474,0.6505342748763802,0.04271955538467607
qa_topic,1,SVM,0.6281628917867765,0.04279699311894541,0.6123073731626364,0.043551642660329674,0.6115244281336881,0.044029212238657474,0.5951877159114002,0.04920723499207328
qa_topic,1,KNN,0.6602493708533517,0.02527603482799768,0.5958358734674525,0.03473009998965298,0.5768499020910752,0.05014645340882857,0.6139938105398632,0.035448005188862326
qa_topic,1,LDA,0.6570807595515901,0.028507926287153384,0.5928084569531938,0.034517861029556195,0.5735778557294767,0.048443959282563946,0.6489081656844815,0.04125185057783979
question_type,1,LDA,0.6516472203157172,0.05004318848202947,0.6314218824087245,0.05176070288549177,0.6314633477944529,0.05228411437721216,0.6170064096050938,0.0510775417181887
question_type,1,RandomForest,0.6313429421185084,0.05967924689662379,0.6205949840818262,0.05552330388695873,0.6171014776221632,0.05720497759664513,0.6181731778771253,0.05039852254262564
question_type,1,SVM,0.6281514527568062,0.06007403580276292,0.618437563503353,0.056785909245880443,0.6150158423512244,0.058260162019395524,0.6263867015511753,0.0646791305324845
question_type,1,LogisticRegression,0.6260009151223975,0.059423096299619754,0.6166518492176387,0.05676393850236372,0.6131636894503212,0.05807668879143723,0.6156529414753099,0.052656059487421206
question_type,1,KNN,0.6249027682452528,0.04149601580135237,0.5890774232879497,0.03743587136534924,0.583824414271333,0.0435037347519999,0.6170102198062726,0.05396158777759057
syntactic,6,RandomForest,0.6099633951040951,0.044244507341748965,0.5812207884576306,0.04872949206065496,0.5806432083467804,0.05054934509538693,0.6179003251371672,0.056435177882302456
syntactic,6,KNN,0.5896476778769161,0.04410979693859674,0.5508975140554088,0.04748696419269728,0.5481128237970821,0.049425596949234894,0.5962433533157216,0.05326458866635956
syntactic,6,LogisticRegression,0.5277510867078471,0.03833946486415506,0.5349188003793267,0.041128015611882576,0.5237778956867312,0.039291613271403826,0.555889724310777,0.04322657476909267
syntactic,6,SVM,0.5299702585220774,0.05741495170530139,0.5761798922983135,0.058207266577617635,0.523111645666759,0.06058348022447539,0.5386866659892975,0.0833593644905948
syntactic,6,LDA,0.5950125829329673,0.02527886901972564,0.5122853586669376,0.023840577929373493,0.4520268120461958,0.03326582011611686,0.5540248425116846,0.043424891476625815
wiki_size,2,LogisticRegression,0.5106039807824297,0.03203725143571914,0.5289858937885255,0.04033981650691666,0.5094111347074124,0.033357810143248436,0.5658603857617015,0.047993510010933785
wiki_size,2,RandomForest,0.5170555936856553,0.035493171796867645,0.5209768509110614,0.03461265975667774,0.5074587519023759,0.03817168600813555,0.5383981490889386,0.0385129513160524
wiki_size,2,KNN,0.5789750629146649,0.028378165403021384,0.513685395922238,0.022493550672728617,0.476453627253289,0.04452642988273817,0.5200139284020863,0.031909084645969366
wiki_size,2,SVM,0.4636238846945778,0.04443014073824836,0.5064587143534512,0.05083790339202788,0.42451670119103896,0.06625222424048902,0.4855489653187021,0.04729676105556316
wiki_size,2,LDA,0.6025623427133381,0.003899081921611876,0.5,0.0,0.375995614619909,0.0015207968293672654,0.5658603857617015,0.047993510010933785
